,title + dj,set_title,set_list,artist,song,spotify_song_name,spotify_id,preview,songs,set_title_split,dj_id,song_id,size,total plays,,In input,in og set
51758," - J. Albert, 45 ACP - Solid Steel 13"," - J. Albert, 45 ACP - Solid Steel",The Pilotwings - Trance Beats,The Pilotwings,Trance Beats,Trance Beats,6gGXTF8a23bU2hPRoNaSSo,https://p.scdn.co/mp3-preview/e5a6b90d554b3d82541a2fa280e99c67a38c57f8?cid=461b02dc885841c0a798981c336f46f0,Trance Beats, 45 ACP,13,81017,1,3,13 81017,No,Yes
43199," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Ziggy Feat. Slim Jenkinz - Look Back At It,Ziggy Feat. Slim Jenkinz,Look Back At It,Look Back at It (feat. Slim Jenkinz),7FeEA2XfmSOU1D63MHXAGD,https://p.scdn.co/mp3-preview/a33a48b93bd9e8218a2d783fefa712a60b493b67?cid=461b02dc885841c0a798981c336f46f0,Look Back At It, 4B,14,93395,1,2,14 93395,No,Yes
43172," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Flosstradamus Feat. Casino - Mosh Pit,Flosstradamus Feat. Casino,Mosh Pit,Mosh Pit (feat. Casino),6cZYAreYA6W2pcyDwaS4V0,https://p.scdn.co/mp3-preview/c3258f7c15a3ee45132d4c4f14d0f4060b2b1b42?cid=461b02dc885841c0a798981c336f46f0,Mosh Pit, 4B,14,79543,1,2,14 79543,No,Yes
43183," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Dr. Fresch - On And On (Y2K Remix),Dr. Fresch,On And On (Y2K Remix),On and On - Y2K Remix,7sbRkQdtCSpbl5rvnaAwCL,https://p.scdn.co/mp3-preview/a458d99b940e2ea19702f66cb0626433f61a9b1e?cid=461b02dc885841c0a798981c336f46f0,On And On (Y2K Remix), 4B,14,97575,1,4,14 97575,No,Yes
43178," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Wiwek & Yellow Claw Feat. Lil Debbie - Pop It,Wiwek & Yellow Claw Feat. Lil Debbie,Pop It,Pop It (feat. Lil Debbie),5l8bEcuLAoRwNxLORhomJE,https://p.scdn.co/mp3-preview/52429341341aa2c62f591982bc43a45aafd0daf0?cid=461b02dc885841c0a798981c336f46f0,Pop It, 4B,14,70216,1,2,14 70216,No,Yes
43195," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",DJ Sliink - Put Cha Back In It,DJ Sliink,Put Cha Back In It,Put Cha Back In It,2HaDgYUwvxt4bqVuwaY8uY,https://p.scdn.co/mp3-preview/9ad705e6323ac0dcf5009b330808d7abe8baa397?cid=461b02dc885841c0a798981c336f46f0,Put Cha Back In It, 4B,14,30793,1,4,14 30793,No,Yes
43185," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Future - Same Damn Time,Future,Same Damn Time,Same Damn Time,0evYh0thMGFGri2roKou3I,https://p.scdn.co/mp3-preview/9ef1d49352352bc8780d13a14924ea166fc3e19f?cid=461b02dc885841c0a798981c336f46f0,Same Damn Time, 4B,14,4072,1,2,14 4072,No,Yes
43176," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Ncredible Gang Feat. ItsaMovie - Snapchat #GettinFreaky,Ncredible Gang Feat. ItsaMovie,Snapchat #GettinFreaky,Snapchat #GettinFreaky,5tBgvPJzUptzYauSZsbsyC,https://p.scdn.co/mp3-preview/8b059bbd69667c942ec04cca3095ce161f67d700?cid=461b02dc885841c0a798981c336f46f0,Snapchat #GettinFreaky, 4B,14,73525,1,2,14 73525,No,Yes
43174," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Lil Ronny - Up In The Air,Lil Ronny,Up In The Air,Up in the Air,1YosE4cYfWEquVN2U3MBsQ,https://p.scdn.co/mp3-preview/25b6f79777c2a7c70cc95f4db36ea8b974c216c5?cid=461b02dc885841c0a798981c336f46f0,Up In The Air, 4B,14,25055,1,2,14 25055,No,Yes
43187," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Young Dro - We In Da City,Young Dro,We In Da City,We In Da City,0kPgn96FXEO9Bnz9QN1Tc0,https://p.scdn.co/mp3-preview/c4c13ee35b866549acb9c5a69213e97585d79ca2?cid=461b02dc885841c0a798981c336f46f0,We In Da City, 4B,14,6447,1,2,14 6447,No,Yes
43191," - Faed, 4B - Diplo and Friends 14"," - Faed, 4B - Diplo and Friends",Gitchii - Yeah,Gitchii,Yeah,Yeah,1lmF5a5HN50nVAUTrCAaxj,https://p.scdn.co/mp3-preview/db05b40921825ae27969819faf74ea2dbc0dd227?cid=461b02dc885841c0a798981c336f46f0,Yeah, 4B,14,19696,1,2,14 19696,No,Yes
116088," - Force Of Nature, 5ive @ Beats In Space 898 15"," - Force Of Nature, 5ive @ Beats In Space 898",Jean Claude Gavri - Closer,Jean Claude Gavri,Closer,Closer,4JMRzuIvnssjQ4SRLltvao,https://p.scdn.co/mp3-preview/243b9b4f1086b77a481cfbfd49574e8e2e6a26d3?cid=461b02dc885841c0a798981c336f46f0,Closer, 5ive ,15,57109,1,2,15 57109,No,Yes
67278," - Mark Knight, 80's Child - Toolroom Radio 348 16"," - Mark Knight, 80's Child - Toolroom Radio 348",Snacks - Burnin (Soultage Remix),Snacks,Burnin (Soultage Remix),Burnin' - Soultage Remix,0C7Wo3bYJg3I4pgv0MR66J,https://p.scdn.co/mp3-preview/7b42e97753452a1221c60854f6d142a42fdada9d?cid=461b02dc885841c0a798981c336f46f0,Burnin (Soultage Remix), 80's Child,16,2977,1,2,16 2977,No,Yes
66302," - Mark Knight, 80's Child - Toolroom Radio 348 16"," - Mark Knight, 80's Child - Toolroom Radio 348",Saison - Call Me [Large],Saison,Call Me [Large],Call Me,1gDtlnaXQu6prfTP3ZiQEb,https://p.scdn.co/mp3-preview/d617f0f0e6ccee451c9da6f84995d53b1aa8f0ee?cid=461b02dc885841c0a798981c336f46f0,Call Me [Large], 80's Child,16,17548,1,3,16 17548,No,Yes
67280," - Mark Knight, 80's Child - Toolroom Radio 348 16"," - Mark Knight, 80's Child - Toolroom Radio 348",Ponty Mython - Grooff Machine,Ponty Mython,Grooff Machine,Grooff Machine - Original Mix,5YVabwjewNUuzS1zzWegAD,https://p.scdn.co/mp3-preview/12c34c7035aa16086d0d8f1661ac13b709742f5c?cid=461b02dc885841c0a798981c336f46f0,Grooff Machine, 80's Child,16,75871,1,2,16 75871,No,Yes
67274," - Mark Knight, 80's Child - Toolroom Radio 348 16"," - Mark Knight, 80's Child - Toolroom Radio 348",Bosq - Out Of My Head,Bosq,Out Of My Head,Out of My Head,79CIXiEpaT9ycbQ1lVF0aY,https://p.scdn.co/mp3-preview/63d8ad1c14ca28341c89625cdc2532ae1043bd6d?cid=461b02dc885841c0a798981c336f46f0,Out Of My Head, 80's Child,16,91053,1,2,16 91053,No,Yes
67272," - Mark Knight, 80's Child - Toolroom Radio 348 16"," - Mark Knight, 80's Child - Toolroom Radio 348",KE - The Cure [Madtech],KE,The Cure [Madtech],The Cure,4OYzQ2ORT97MDdIwGfuI2b,https://p.scdn.co/mp3-preview/8f192a9e701f4a5e06b5f76a1a1b66c9b5ef9b53?cid=461b02dc885841c0a798981c336f46f0,The Cure [Madtech], 80's Child,16,59256,1,2,16 59256,No,Yes
67276," - Mark Knight, 80's Child - Toolroom Radio 348 16"," - Mark Knight, 80's Child - Toolroom Radio 348",David Moran - Weak,David Moran,Weak,Weak,46odsmL1Q1ZkRyvasWGIDH,https://p.scdn.co/mp3-preview/b34a7b079d71a8ff881e915c8e1c8aa89821de33?cid=461b02dc885841c0a798981c336f46f0,Weak, 80's Child,16,52506,1,2,16 52506,No,Yes
56560," - Ben UFO, A Made Up Sound, Nina - Hessle Audio, Rinse FM 17"," - Ben UFO, A Made Up Sound, Nina - Hessle Audio, Rinse FM", Grey Area - 1 [Grey Area - 003], Grey Area,1 [Grey Area,Grey Area 04 #1,7GRGSpWTe7MJ73RBidalbx,https://p.scdn.co/mp3-preview/dc49c16fa7af2168b8db7d348a4e1dc546c2ac23?cid=461b02dc885841c0a798981c336f46f0,1 [Grey Area, A Made Up Sound,17,93957,1,3,17 93957,No,Yes
91740," - Ancestral Voices, A r c a d e - NTS Manchester 18"," - Ancestral Voices, A r c a d e - NTS Manchester",Ena - 24th Divided,Ena,24th Divided,24th Divided,5geLKIdrZvRzTcmgZeUEAx,https://p.scdn.co/mp3-preview/58bf2ce68e3c1c158955b0a5c96876e486090970?cid=461b02dc885841c0a798981c336f46f0,24th Divided, A r c a d e,18,68338,1,2,18 68338,No,Yes
91754," - Ancestral Voices, A r c a d e - NTS Manchester 18"," - Ancestral Voices, A r c a d e - NTS Manchester",Lucy - A Selfless Act,Lucy,A Selfless Act,A Selfless Act,2LVKnEdwJvObBeUUHDvN1Z,https://p.scdn.co/mp3-preview/6f88c5b85d22d2798bbc1a45f7f550b3754d1a0b?cid=461b02dc885841c0a798981c336f46f0,A Selfless Act, A r c a d e,18,32804,1,2,18 32804,No,Yes
91760," - Ancestral Voices, A r c a d e - NTS Manchester 18"," - Ancestral Voices, A r c a d e - NTS Manchester",Bjarki - Amelyn,Bjarki,Amelyn,Amelyn,75BlHBV52iso4s0D68XYFa,https://p.scdn.co/mp3-preview/462a38cf70fceea114ead2a87cb887a54c67fdde?cid=461b02dc885841c0a798981c336f46f0,Amelyn, A r c a d e,18,90220,1,2,18 90220,No,Yes
91736," - Ancestral Voices, A r c a d e - NTS Manchester 18"," - Ancestral Voices, A r c a d e - NTS Manchester",Davide Swarup - And The Groove,Davide Swarup,And The Groove,And the Groove,3WwwmLCExe6vGCZ5jqojR6,https://p.scdn.co/mp3-preview/2c003d882d8686cea48c2c21b9afb7e2da8a905f?cid=461b02dc885841c0a798981c336f46f0,And The Groove, A r c a d e,18,49940,1,2,18 49940,No,Yes
91734," - Ancestral Voices, A r c a d e - NTS Manchester 18"," - Ancestral Voices, A r c a d e - NTS Manchester",Ancestral Voices - Cleromancy,Ancestral Voices,Cleromancy,Cleromancy,44SVwxlufppoZrWqs1RsBA,https://p.scdn.co/mp3-preview/4abdf2a593cbe29742cf91a8c1f9c955061dbf65?cid=461b02dc885841c0a798981c336f46f0,Cleromancy, A r c a d e,18,52139,1,2,18 52139,No,Yes
